accession	project	description	flag
PRJNA472006	Nose	Human Skin Metagenome (Nose)	yes
PRJDB6156	Osaka	Osaka Bay Metatranscriptome (Marine)	yes
PRJEB13831	Sewage	Global Sewage Project (Monoisolate)	yes
PRJNA340165	Tonga	Tonga Trench (Sediment)	yes
PRJNA489681	Skin	Human Skin Metagenome (atopic dermatitis)	yes
PRJNA624223	COVID19	Human Stool Metagenome (COVID-19)	yes
PRJNA629394	Mangrove	Mangrove Metagenome (Sediment)	yes
PRJNA631351	Plumbing	Hospital Plumbing Metagenome	yes
PRJNA587635	Biofilm	Hospital Plumbing Sink Biofilm Metagenome	yes
PRJNA475599	UC	Human Stool Metagenome (UC)	yes
PRJNA413474	MTR skin microbiome yes